카테고리,번호,체크 항목,세부 점검 내용,합격 기준 / 목표 수치,담당자,기한,상태,비고
앱스토어 등록,1,앱 아이콘 제작 (1024x1024px),"- 1024x1024px PNG 파일 준비
- 투명 배경 없이 제작 (앱스토어 거부 사유)
- iOS / Android 각각 사이즈별 아이콘 세트 준비
- 경쟁 앱 아이콘과 차별화 여부 확인",iOS: 7가지 사이즈 / Android: 5가지 사이즈 모두 준비,,,,
앱스토어 등록,2,스크린샷 제작 (6.5인치 / 5.5인치),"- 6.5인치 (1284x2778px) 최소 3장 이상
- 5.5인치 (1242x2208px) 최소 3장 이상
- 핵심 기능 화면 포함 (AI 채팅 / 온보딩 / 주요 기능)
- 텍스트 오버레이로 기능 설명 추가
- 실제 앱 화면 캡처 사용 (가상 이미지 금지)",최소 3장 ~ 최대 10장 / 주요 기능 화면 100% 포함,,,,
앱스토어 등록,3,앱 이름 및 부제목 확정,"- 앱 이름 30자 이내 (앱스토어 제한)
- 부제목 30자 이내 키워드 포함
- 경쟁사 상표명 포함 여부 확인 (거부 사유)
- 국내외 동일 앱명 충돌 여부 확인
- 검색 노출 키워드 포함 여부 검토",앱 이름 30자 이내 / 부제목 30자 이내 / 상표 충돌 없음,,,,
앱스토어 등록,4,앱 설명문 작성 (한국어),"- 첫 3줄에 핵심 가치 제안 포함 (더보기 전 노출)
- 주요 기능 bullet point 형식으로 나열
- 타겟(20~30대 여성) 공감 언어 사용
- 금지 표현 없는지 확인 (타 앱 비교 / 과장 광고)
- 영어 버전 별도 작성 여부 결정",설명문 4000자 이내 / 첫 문단 핵심 메시지 포함,,,,
앱스토어 등록,5,키워드 설정 (ASO 최적화),"- 100자 키워드 필드 최대 활용 (쉼표로 구분 공백 없이)
- 앱 이름 / 설명문에 이미 포함된 키워드 중복 입력 금지
- 경쟁 앱 키워드 분석 후 공략 키워드 선정
- 검색량 높고 경쟁 낮은 키워드 우선
- 최소 월 1회 키워드 성과 분석 및 업데이트 계획 수립",100자 키워드 필드 90% 이상 활용 / 중복 키워드 없음,,,,
앱스토어 등록,6,연령 등급 설정,"- 앱 내 콘텐츠 기반 연령 등급 설문 정확히 작성
- AI 생성 콘텐츠 관련 항목 확인
- 채팅 기능 관련 등급 항목 확인
- 타겟(20~30대)에 맞는 등급 설정 여부 확인
- 등급 변경 시 재심사 필요 여부 인지",연령 등급 앱 콘텐츠와 일치 / 심사 거부 사유 없음,,,,
앱스토어 등록,7,카테고리 설정,"- 주 카테고리 선정 (소셜 네트워킹 / 엔터테인먼트 / 라이프스타일)
- 부 카테고리 선정
- 경쟁 앱 카테고리 분석 후 결정
- 카테고리 내 순위 경쟁 강도 확인",주/부 카테고리 각 1개 설정 완료,,,,
앱스토어 등록,8,앱 미리보기 영상 제작,"- 15~30초 분량 (앱스토어 권장)
- 실제 앱 사용 화면 캡처 기반 제작
- 첫 3초 내 핵심 기능 노출
- 소리 없이도 이해 가능한 구성 (자막 포함)
- MP4 형식 / 최소 1080p 해상도",15~30초 / 1080p 이상 / 핵심 기능 3초 내 노출,,,,
앱스토어 등록,9,앱스토어 심사 제출,"- 심사 전 테스트 계정 정보 제출 준비
- 심사 가이드라인 최종 검토 (특히 AI 콘텐츠 정책)
- 심사 소요 기간 감안한 제출 일정 확인 (평균 1~3일)
- 거부 시 대응 플랜 수립
- Android (Google Play) 동시 제출 여부 결정",심사 제출 완료 / 거부 대응 플랜 수립,,,,
기술/개발,10,프로덕션 서버 배포 및 점검,"- 스테이징 환경과 프로덕션 환경 분리 확인
- 서버 CPU / 메모리 사용률 정상 범위 확인
- 데이터베이스 연결 및 쿼리 응답 속도 확인
- 환경 변수 / 시크릿 키 프로덕션 값으로 교체 확인
- 서버 자동 재시작 설정 (PM2 / systemd 등)
- SSL 인증서 유효기간 확인 (최소 6개월 이상 남은 것)","서버 가동률 99.9% 이상 / CPU 60% 이하 / DB 응답 100ms 이하",,,,
기술/개발,11,API 안정성 테스트,"- 부하 테스트: 동시 접속자 500명 기준 응답속도 측정 (k6 / JMeter 활용)
- 응답 시간 측정: 평균 200ms 이하 / 최대 1000ms 이하 목표
- 에러율 측정: 전체 요청 대비 에러 1% 미만 목표
- AI 채팅 API 응답 시간 별도 측정 (외부 API 의존)
- API Rate Limit 초과 시 처리 로직 확인
- 타임아웃 처리 및 재시도 로직 확인
- 주요 API 엔드포인트별 응답 코드 200 확인","평균 응답시간 200ms 이하 / 에러율 1% 미만 / 동시 500명 처리 가능",,,,
기술/개발,12,AI 채팅 기능 최종 확인,"- AI 응답 생성 시간 측정 (목표: 3초 이내 첫 토큰 출력)
- 대화 맥락 유지 여부 확인 (이전 대화 기억)
- 부적절한 응답 필터링 작동 여부 확인
- 응답 중 앱 종료 후 재진입 시 대화 복원 확인
- 긴 대화 (50턴 이상) 시 성능 저하 여부 확인
- AI 캐릭터 설정 일관성 유지 여부 확인
- 네트워크 지연 시 로딩 UI 정상 표시 확인","AI 첫 응답 3초 이내 / 50턴 이상 대화 정상 / 필터링 오탐률 5% 이하",,,,
기술/개발,13,회원가입 / 로그인 플로우 테스트,"- 이메일 회원가입 전체 플로우 테스트
- 소셜 로그인 (카카오 / 애플 / 구글) 각각 테스트
- 비밀번호 찾기 / 재설정 플로우 테스트
- 이메일 인증 발송 및 인증 처리 확인 (발송 60초 이내)
- 중복 이메일 가입 방지 처리 확인
- 탈퇴 후 재가입 플로우 확인
- 세션 만료 후 자동 로그아웃 및 재로그인 안내 확인","전체 가입 완료율 95% 이상 / 인증 메일 발송 60초 이내",,,,
기술/개발,14,푸시 알림 전송 테스트,"- iOS / Android 각각 푸시 수신 테스트
- 앱 포그라운드 / 백그라운드 / 종료 상태별 수신 확인
- 알림 클릭 시 정확한 화면으로 딥링크 이동 확인
- 알림 수신 거부 사용자 처리 로직 확인
- 알림 발송 시간대 설정 (야간 발송 금지 22시~8시)
- 대량 발송 시 발송 지연 여부 확인 (1000명 기준)","iOS / Android 수신율 95% 이상 / 딥링크 이동 정확도 100%",,,,
기술/개발,15,결제 플로우 최종 확인 (구독),"- 구독 상품 가격 및 기간 앱스토어 설정과 일치 확인
- iOS In-App Purchase 샌드박스 테스트 완료
- Android Google Play Billing 테스트 완료
- 결제 성공 후 구독 기능 즉시 활성화 확인
- 결제 실패 시 오류 메시지 및 재시도 안내 확인
- 구독 해지 후 기능 비활성화 시점 확인
- 환불 처리 정책 및 프로세스 확인
- 영수증 이메일 발송 확인","결제 성공률 99% 이상 / 기능 활성화 지연 5초 이내",,,,
기술/개발,16,앱 크래시 / 버그 점검,"- Firebase Crashlytics 또는 Sentry 연동 확인
- 크래시 없이 전체 핵심 플로우 5회 이상 반복 테스트
- 메모리 누수 여부 확인 (30분 이상 사용 후 메모리 증가량 측정)
- 크리티컬 버그 0건 확인 (앱 종료 / 데이터 손실 유발)
- 마이너 버그 목록화 및 우선순위 분류
- 다양한 OS 버전에서 테스트 (iOS 15 이상 / Android 10 이상)","크리티컬 버그 0건 / 크래시율 0.1% 이하 / 메모리 누수 없음",,,,
기술/개발,17,성능 테스트 (로딩속도 3초 이내),"- 앱 최초 실행 시간 측정 (Cold Start): 3초 이내 목표
- 앱 재실행 시간 측정 (Warm Start): 1.5초 이내 목표
- 채팅 화면 전환 속도 측정: 1초 이내 목표
- 이미지 로딩 속도 확인 (CDN 적용 여부)
- 저사양 기기에서 성능 테스트 (RAM 3GB 기준)
- 앱 용량 확인 (초기 다운로드 100MB 이하 권장)","Cold Start 3초 이내 / 화면 전환 1초 이내 / 앱 용량 100MB 이하",,,,
기술/개발,18,iOS / Android 크로스 테스트,"- 최신 iOS / Android OS 버전 테스트
- 지원 최소 버전 기기에서 테스트 (iOS 15 / Android 10)
- 화면 크기별 UI 깨짐 여부 확인 (소형 / 표준 / 대형)
- 다크모드 지원 여부 및 UI 확인
- 접근성 설정 (큰 글씨 / 고대비) 적용 시 UI 확인
- 태블릿 화면 대응 여부 확인","최소 지원 버전 이상 기기 전체 정상 / UI 깨짐 0건",,,,
기술/개발,19,오프라인 상태 대응 처리 확인,"- 네트워크 끊김 시 오류 메시지 정상 표시 확인
- 오프라인 중 입력한 메시지 처리 방식 확인
- 네트워크 재연결 시 자동 복구 여부 확인
- 비행기 모드 전환 후 앱 동작 확인
- 약한 네트워크 환경 (3G 수준) 테스트","오프라인 오류 안내 100% / 네트워크 복구 후 자동 재연결",,,,
기술/개발,20,Firebase / 분석 툴 연동 확인,"- Firebase Analytics 핵심 이벤트 설정 확인 (가입 / 로그인 / 채팅 시작 / 구독)
- 온보딩 각 단계별 이탈 이벤트 설정
- 구독 전환 퍼널 이벤트 설정
- Firebase Crashlytics 크래시 리포트 수신 확인
- 대시보드에서 실시간 이벤트 수신 확인
- DAU / 리텐션 측정 가능한 이벤트 설계 완료","핵심 이벤트 10개 이상 설정 / 실시간 데이터 수신 확인",,,,
법무/정책,21,이용약관 작성 및 법무 검토,"- 서비스 이용 범위 및 제한 사항 명시
- 계정 정지 / 삭제 기준 명시
- AI 생성 콘텐츠 관련 책임 범위 명시
- 유료 서비스 / 환불 정책 명시
- 분쟁 해결 방법 및 관할 법원 명시
- 법무 담당자 또는 외부 법무 검토 완료","법무 검토 완료 / 전자상거래법 및 정보통신망법 준수",,,,
법무/정책,22,개인정보처리방침 작성 및 게시,"- 수집 항목 및 수집 목적 명시
- 보유 기간 및 파기 방법 명시
- 제3자 제공 / 위탁 처리 현황 명시
- AI 학습 데이터 활용 여부 명시
- 사용자 권리 (열람 / 수정 / 삭제) 행사 방법 명시
- 앱 내 접근 가능한 위치에 게시
- 개인정보보호위원회 신고 여부 확인","개인정보보호법 준수 / 앱 내 접근 가능 위치 게시",,,,
법무/정책,23,개인정보처리방침 URL 앱스토어 등록,"- 외부 접근 가능한 URL 형태로 게시 (앱 내 전용 불가)
- iOS App Store Connect 개인정보처리방침 URL 입력
- Google Play Console 개인정보처리방침 URL 입력
- URL 접근 시 정상 표시 확인
- HTTPS 보안 URL 사용","iOS / Android 양쪽 URL 등록 완료 / URL 정상 접근 가능",,,,
법무/정책,24,AI 생성 콘텐츠 관련 법적 검토,"- AI 생성 콘텐츠 저작권 귀속 여부 명시
- 사용자 입력 데이터 AI 학습 활용 여부 동의 확보
- 허위 정보 / 유해 콘텐츠 생성 시 면책 조항 확인
- 앱스토어 AI 콘텐츠 정책 가이드라인 준수 확인
- 방송통신위원회 AI 서비스 관련 가이드라인 검토","법무 검토 완료 / 앱스토어 AI 정책 준수",,,,
법무/정책,25,청소년 보호 정책 확인,"- 만 14세 미만 가입 제한 처리 확인
- 가입 시 연령 확인 절차 구현 여부 확인
- 청소년 유해 콘텐츠 필터링 적용 확인
- 청소년보호법 준수 여부 확인
- 보호자 동의 절차 필요 여부 검토","청소년보호법 준수 / 14세 미만 가입 제한 구현",,,,
법무/정책,26,저작권 및 초상권 검토,"- 앱 내 사용 이미지 / 폰트 / 음원 라이선스 확인
- AI 캐릭터 이미지 생성 시 사용 모델 라이선스 확인
- 실존 인물 이름 / 이미지 사용 여부 확인
- 유료 폰트 라이선스 보유 여부 확인
- 앱 아이콘 / UI 요소 저작권 확인","사용 중인 모든 에셋 라이선스 보유 확인",,,,
마케팅/운영,27,SNS 채널 개설 및 프로필 세팅,"- 인스타그램 계정 개설 및 프로필 완성 (바이오 / 링크)
- 틱톡 계정 개설 (20~30대 여성 주요 채널)
- 프로필 이미지 / 커버 이미지 앱 브랜딩과 일치
- 첫 게시물 3~5개 사전 준비 (런칭 전 업로드)
- 앱 다운로드 링크 프로필에 연결
- 계정 비즈니스 전환 완료 (광고 집행 준비)","주요 SNS 채널 2개 이상 개설 / 첫 게시물 3개 이상 준비",,,,
마케팅/운영,28,런칭 공지 콘텐츠 제작,"- 런칭 D-7 / D-3 / D-1 / D-Day 콘텐츠 스케줄 작성
- 앱 소개 카드뉴스 / 릴스 영상 제작
- 핵심 메시지 (20~30대 여성 타겟) 담긴 카피라이팅 완성
- 앱 다운로드 유도 CTA 포함 여부 확인
- 해시태그 전략 수립 (10~15개)","D-Day 콘텐츠 스케줄 완성 / 영상 1개 이상 제작",,,,
마케팅/운영,29,사전 예약 / 베타 유저 모집 완료,"- 사전 예약자 수 목표 달성 여부 확인 (목표: 200명 이상)
- 베타 유저 피드백 수집 및 주요 개선사항 반영 여부
- 베타 유저 대상 런칭 알림 발송 준비
- 사전 예약자 특별 혜택 준비 (첫 달 무료 등)
- 베타 테스트 기간 중 발견된 버그 수정 완료 확인","사전 예약 200명 이상 / 베타 피드백 반영 완료",,,,
마케팅/운영,30,인플루언서 / 바이럴 채널 컨택,"- 20~30대 여성 팔로워 중심 인플루언서 리스트 작성 (5명 이상)
- 팔로워 수 대비 참여율 높은 마이크로 인플루언서 우선 선정 (1만~10만)
- 협업 조건 협의 완료 (무상 제공 / 유상 계약)
- 콘텐츠 가이드라인 전달 완료
- 게시 일정 런칭 D-Day 전후로 조율","인플루언서 3명 이상 확정 / 런칭 전후 게시 일정 확정",,,,
마케팅/운영,31,런칭 이벤트 기획 및 준비,"- 런칭 이벤트 내용 확정 (친구 초대 이벤트 / 리뷰 작성 혜택 등)
- 이벤트 보상 준비 (구독권 / 인앱 혜택)
- 이벤트 기간 및 당첨자 발표 일정 확정
- 이벤트 참여 조건 명확화 (앱스토어 정책 위반 여부 확인)
- 이벤트 안내 콘텐츠 제작 완료","런칭 이벤트 1개 이상 확정 / 보상 준비 완료",,,,
마케팅/운영,32,앱 소개 페이지 (랜딩페이지) 제작,"- 모바일 최적화 랜딩페이지 구축
- 앱스토어 / 플레이스토어 다운로드 버튼 연결
- 핵심 기능 소개 및 스크린샷 포함
- OG 태그 설정 (SNS 공유 시 미리보기 이미지 표시)
- 페이지 로딩 속도 3초 이내 확인
- Google Analytics / Pixel 추적 코드 삽입","모바일 로딩 3초 이내 / 다운로드 버튼 정상 연결",,,,
고객 지원,33,고객 문의 채널 개설,"- 이메일 문의 채널 개설 및 자동 응답 설정
- 카카오톡 채널 개설 (국내 사용자 선호)
- 앱 내 문의하기 버튼 및 연결 확인
- 문의 접수 후 응답 목표 시간 설정 (24시간 이내 권장)
- 담당자 지정 및 업무 시간 안내 게시","문의 채널 2개 이상 / 24시간 이내 응답 체계 수립",,,,
고객 지원,34,FAQ 작성 및 게시,"- 예상 문의 TOP 20 질문 선정 및 답변 작성
- 카테고리별 분류 (가입 / 결제 / 기능 / 오류)
- 앱 내 및 랜딩페이지에 게시
- 결제 / 환불 관련 FAQ 반드시 포함
- AI 채팅 사용법 안내 포함","FAQ 20개 이상 / 결제·환불 항목 반드시 포함",,,,
고객 지원,35,CS 응대 가이드 작성,"- 주요 문의 유형별 표준 응대 스크립트 작성
- 환불 요청 처리 절차 및 기준 명확화
- 계정 정지 / 이의 제기 처리 절차 수립
- 악성 유저 / 이상 사용 행위 대응 방법 수립
- 긴급 장애 발생 시 고객 안내 프로세스 수립","응대 스크립트 10개 이상 / 환불 처리 절차 수립",,,,
고객 지원,36,앱 내 신고 / 차단 기능 확인,"- 부적절한 AI 응답 신고 기능 정상 작동 확인
- 신고 접수 후 처리 프로세스 수립
- 차단 기능 작동 여부 확인
- 신고 내역 관리 대시보드 또는 로그 확인
- 반복 신고 내용 AI 개선 피드백 루프 연결 여부 확인","신고 / 차단 기능 100% 정상 작동 / 처리 프로세스 수립",,,,
OKR 점검,37,런칭 30일 내 가입자 1000명 달성 계획,"- 채널별 가입자 유입 목표 분배 (SNS / 인플루언서 / 앱스토어 자연 유입)
- 일별 가입자 목표 설정 (1000명 / 30일 = 일 34명)
- 가입 전환율 측정 방법 확인 (다운로드 대비 가입 완료율)
- 목표 미달 시 대응 플랜 수립 (추가 광고 집행 기준)
- 가입자 수 실시간 모니터링 대시보드 세팅","일 평균 34명 가입 / 다운로드→가입 전환율 50% 이상",,,,
OKR 점검,38,Day 7 리텐션 측정 방법 세팅,"- Firebase Analytics 에서 Day 1 / Day 7 / Day 30 리텐션 코호트 설정
- 리텐션 측정 기준 이벤트 정의 (앱 실행 or 채팅 1회 이상)
- 리텐션 하락 구간 알림 설정
- 리텐션 개선 실험 (푸시 알림 / 리마인더) 준비
- 목표: Day 7 리텐션 30% 이상","Firebase 코호트 설정 완료 / Day 7 리텐션 30% 목표 설정",,,,
OKR 점검,39,온보딩 완주율 측정 이벤트 설정,"- 온보딩 각 단계별 이벤트 설정 (Step 1 / 2 / 3 / 완료)
- 단계별 이탈률 측정 가능한 퍼널 구성
- 온보딩 완주율 목표 설정 (70% 이상 권장)
- 완주 실패 사용자 대상 재진입 유도 푸시 설정
- 온보딩 개선 A/B 테스트 계획 수립","온보딩 단계별 이벤트 설정 완료 / 완주율 70% 목표",,,,
OKR 점검,40,앱스토어 평점 관리 전략 수립,"- 평점 요청 팝업 노출 시점 설정 (첫 채팅 완료 후 권장)
- 긍정 경험 후 평점 요청하는 로직 구현 확인
- 부정 피드백 사용자는 인앱 문의로 유도하는 로직 확인
- 출시 첫 주 리뷰 집중 수집 계획 수립
- 앱스토어 리뷰 모니터링 및 답글 작성 담당자 지정
- 목표: 첫 주 리뷰 20개 이상 / 평균 평점 4.0 이상","첫 주 리뷰 20개 이상 / 평균 평점 4.0 이상",,,,
